pid,nom,cpu,memoire_MB,etat,heure_lancement,anomalie
0,System Idle Process,0.0,0.01,running,01:00:00,anormal
4,System,0.0,0.13,running,01:00:00,anormal
100,Registry,0.0,39.32,running,01:00:47,normal
336,winlogon.exe,0.0,7.27,running,01:01:01,normal
456,smss.exe,0.0,0.65,running,01:00:49,anormal
488,svchost.exe,0.0,19.38,running,01:01:00,normal
648,csrss.exe,0.0,3.69,running,01:00:58,normal
652,svchost.exe,0.0,5.38,running,01:01:00,normal
660,SecurityHealthService.exe,0.0,11.55,running,01:02:27,normal
668,UserOOBEBroker.exe,0.0,6.33,running,01:05:51,normal
724,svchost.exe,0.0,13.85,running,01:01:02,normal
732,wininit.exe,0.0,3.23,running,01:00:59,normal
740,csrss.exe,0.0,5.47,running,01:00:59,normal
804,services.exe,0.0,8.61,running,01:00:59,normal
812,lsass.exe,0.0,19.54,running,01:00:59,normal
824,SynTPEnh.exe,0.0,11.99,running,01:01:57,normal
884,RAVBg64.exe,0.0,1.34,running,01:02:28,normal
936,chrome.exe,0.0,8.24,running,01:03:05,normal
948,svchost.exe,0.0,28.41,running,01:01:00,normal
980,fontdrvhost.exe,0.0,3.05,running,01:01:00,normal
1068,fontdrvhost.exe,0.0,10.39,running,01:01:01,normal
1108,svchost.exe,0.0,11.64,running,01:01:02,normal
1172,RAVBg64.exe,0.0,4.31,running,01:01:57,normal
1200,svchost.exe,0.0,5.11,running,01:01:01,normal
1208,svchost.exe,0.0,7.41,running,01:01:01,normal
1216,svchost.exe,0.0,5.04,running,01:01:01,normal
1228,svchost.exe,0.0,6.61,running,01:01:01,normal
1236,svchost.exe,0.0,7.14,running,01:01:01,normal
1268,dwm.exe,0.0,66.6,running,01:01:01,anormal
1280,svchost.exe,0.0,10.99,running,15:12:15,normal
1400,svchost.exe,0.0,9.22,running,15:07:23,normal
1472,svchost.exe,0.0,14.4,running,01:01:01,normal
1516,svchost.exe,0.0,5.59,running,01:01:01,normal
1600,msedgewebview2.exe,0.0,7.25,running,01:04:19,normal
1636,svchost.exe,0.0,8.41,running,01:01:01,normal
1676,svchost.exe,0.0,6.29,running,01:01:01,normal
1692,opera.exe,0.0,17.43,running,06:45:29,normal
1752,svchost.exe,0.0,8.27,running,01:01:01,normal
1772,svchost.exe,0.0,5.79,running,01:01:01,normal
1784,msedge.exe,0.0,69.98,running,02:01:30,anormal
1788,svchost.exe,0.0,22.47,running,01:01:02,normal
1836,conhost.exe,0.0,5.67,running,15:18:00,normal
